Nombre de Usuario    | Puntaje | Fecha              
=================================================
brnda                | 13      | 2024-11-13 00:24:53
brenda               | 5       | 2024-11-13 02:50:17
brenda               | 5       | 2024-11-13 02:50:17
brenda               | 2       | 2024-11-13 02:52:03
brenda               | 2       | 2024-11-13 02:52:03
brenda               | 2       | 2024-11-13 02:53:03
brenda               | 3       | 2024-11-13 03:01:36
juani                | 6       | 2024-11-13 03:05:35
franco               | 1       | 2024-11-13 03:08:28
hoal                 | 0       | 2024-11-13 03:09:44
brenda               | 2       | 2024-11-13 03:20:33
BRENDA               | 0       | 2024-11-13 03:37:23
rocio                | 2       | 2024-11-13 03:27:24
rocio                | 13      | 2024-11-13 03:36:45
brenda               | 5       | 2024-11-13 04:41:50
justin               | 4       | 2024-11-13 04:42:23
justin               | 8       | 2024-11-13 04:42:47
mar                  | 12      | 2024-11-13 11:58:30
mar                  | 6       | 2024-11-13 12:58:25
mar                  | 53      | 2024-11-13 12:59:29
aa                   | 1       | 2024-11-13 13:32:51
aa                   | 0       | 2024-11-13 13:34:28
aaa                  | 8       | 2024-11-13 13:35:27
rocio                | 5       | 2024-11-13 13:18:43
rocio                | 0       | 2024-11-13 13:19:08
rocio                | 9       | 2024-11-13 13:19:26
aaaaaaaaa            | 0       | 2024-11-13 13:36:01
aaaaaaaaa            | 0       | 2024-11-13 13:45:20
aaaaaaaaa            | 0       | 2024-11-13 14:11:49
brenda               | 120     | 2024-11-13 15:47:13
lola                 | 1       | 2024-11-13 16:06:25
brendlola            | 2       | 2024-11-13 16:07:17
ola                  | 0       | 2024-11-13 16:08:44
lola                 | 0       | 2024-11-13 16:09:27
ga                   | 0       | 2024-11-13 16:10:07
nre                  | 3       | 2024-11-13 16:10:45
juan                 | 7       | 2024-11-13 16:11:31
juan                 | 2       | 2024-11-13 16:11:45
rocio                | 14      | 2024-11-13 16:39:39
